system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
5_6813,2671.0,2328.0,1.0103298425674438,0.17976889030506787,0.13834889807517456,23.71946746448056,
5_6826,2735.0,2401.0,1.012993335723877,0.15305496840876986,0.11890711610223932,22.999848318549887,
5_6831,2727.0,2428.0,1.044663667678833,0.18223215126220826,0.14012285165644126,24.42457027313936,
5_6855,2998.0,2528.0,1.0700840950012207,0.12873778044835607,0.10088120191326416,21.59172013367078,
5_6865,2345.0,2138.0,1.0384321212768555,0.15737789507292677,0.12207260338242837,22.84143285736934,
5_6897,2581.0,2410.0,1.0570409297943115,0.12599575884166672,0.09882297210050389,22.51671927486603,
5_6920,1984.0,1857.0,1.0393939018249512,0.169093094311349,0.1306038156020428,24.47400685409426,
5_6952,3249.0,2281.0,1.1125682592391968,0.36659192008455616,0.2641910146586156,27.895605762322237,
5_6957,2707.0,2439.0,1.0452468395233154,0.1397819644581448,0.10910315411381748,24.68459277472406,
5_6982,2566.0,2357.0,1.021842360496521,0.1460432053283899,0.11373494819684758,25.61423408505869,
5_6987,2740.0,2371.0,1.0485930442810059,0.1884936325455008,0.14461455555957708,26.700787992395245,
5_7009,2583.0,2320.0,1.1206306219100952,0.15430246912879128,0.11982160965991984,22.69744287455039,
5_7011,2739.0,2356.0,1.1198090314865112,0.18032278080186082,0.13874969050882094,23.350501890010225,
5_7014,2586.0,2274.0,1.1288611888885498,0.14784503735784602,0.11507080326364603,21.17390369211291,
5_7037,2897.0,2531.0,1.093008041381836,0.16593726415045518,0.1283348192349225,20.875766827912155,
5_7057,2597.0,2288.0,1.0175166130065918,0.150746182145516,0.1172068783450644,22.998711719153764,
5_7077,2850.0,2453.0,1.009340763092041,0.1772353070119495,0.1365269674642826,20.749433582652877,
5_7094,2431.0,2315.0,1.124605417251587,0.130154591790222,0.10192758622421057,26.356740083490813,
5_7168,2413.0,2128.0,1.098549246788025,0.17149994984117967,0.13237085926945713,20.122000683441613,
5_7197,2457.0,2245.0,1.0433614253997803,0.1600004429084134,0.12398856650915789,26.385602134497518,
5_7228,2124.0,2025.0,1.0794026851654053,0.16202316305878245,0.12545557979757566,26.49093858817276,
5_7232,2677.0,2306.0,1.0425385236740112,0.10880238990123033,0.08585780786817,23.11186605447137,
5_7234,2509.0,2209.0,1.1249091625213623,0.17114208842245696,0.13211109915751906,21.609707913353642,
5_7238,2706.0,2431.0,1.0590884685516357,0.16914558821110529,0.13066056606631682,25.212691916569195,
5_7244,2283.0,2125.0,1.0505874156951904,0.13726644912849353,0.10723227239462296,21.152332698360052,
5_7246,2472.0,2246.0,1.0267629623413086,0.21145465485105527,0.1609202187543483,24.55093969968192,
5_7251,2000.0,1867.0,1.0321707725524902,0.11004754424388179,0.08678960634363826,23.74302634306289,
5_7260,2826.0,2447.0,1.078630805015564,0.15015942958115888,0.11678051213934323,20.23062312399675,
5_7265,2701.0,2407.0,1.0103727579116821,0.1456484168884459,0.11344806079103634,23.613426968874652,
5_7269,2305.0,2100.0,1.08853018283844,0.17749283562142584,0.13670144067907164,22.409007195657477,
5_7281,2204.0,2138.0,1.0368587970733643,0.13604398624561773,0.10631156645079844,26.798050327496096,
5_7284,2536.0,2140.0,1.1015788316726685,0.17269351640269023,0.13323653385633946,21.377210069206736,
5_7285,2689.0,2440.0,1.0948067903518677,0.13831448080907444,0.10801230085640423,25.618133425369862,
